Depth Of Objectoin,Left Eye Rotation, , , Right Eye Rotation, , , Left Eye Rotational Correction, , , Right Eye Rotational Correctoin, , 
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
6.461783, (333.4, 1.8, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (333.4, 1.2, 357.6)
